title,description,level,stars,score
"Phần A
SẢN PHẨM VÀ SỨC MẠNH CỦA CỘNG ĐỒNG (40 Điểm)",,0,,40
1. TỔ CHỨC SẢN XUẤT,,1,,18
a) Nguồn nguyên liệu,,2,,5
□ Sử dụng nguyên liệu có nguồn gốc trong tính dưới 50%***,,3,3,1
□ Sử dụng nguyên liệu có nguồn gốc trong tính từ 50% đến dưới 75%,,3,,3
□ Sử dụng nguyên liệu có nguồn gốc trong tính từ 75% đến 100%,,3,,5
b) Gia tăng giá trị,,2,,3
"□ Phân loại, sơ chế",,3,,0
□ Chế biến đơn giản,,3,,1
□ Chế biến,,3,,2
□ Chế biến sâu từ vùng nguyên liệu địa phương (tạo ra sản phẩm chất lượng cao theo nhu cầu của thị trường),,3,,3
"c) Năng lực sản xuất để đáp ứng yêu cầu phân phối
(Khả năng sản xuất đáp ứng nhu cầu về số lượng/quy mô của thị trường, so sánh với quy mô trung bình ở cùng đối tượng sản xuất tại địa phương)",,2,,3
"□ Có năng lực, quy mô sản xuất mức độ nhỏ",,3,,1
"□ Có năng lực, quy mô sản xuất trung bình****",,3,4,2
"□ Có năng lực, quy mô sản xuất lớn, có thể đáp ứng thị trường xuất khẩu*****",,3,5,3
d) Liên kết chuỗi trong sản xuất,,2,,3
□ Không có liên kết hoặc có nhưng không rõ ràng,,3,,0
□ Có hợp đồng liên kết sản xuất từ 50% đến dưới 75% sản lượng nguyên liệu đầu vào cho chế biến,,3,,1
□ Có hợp đồng liên kết trên 75% sản lượng nguyên liệu đầu vào cho chế biến****,,3,4,2
□ Có hợp đồng liên kết trên 75% sản lượng nguyên liệu dầu vào cho chế biến và tổ chức thực hiện hợp đồng ổn định tử 12 tháng trở lên*****,,3,5,3
đ) Bảo vệ môi trường trong quá trình sản xuất,,2,,3
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật và các quy định khác về bảo vệ môi trường****",,3,4,1
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật về bảo vệ môi trường và hồ sơ minh chứng về công trình thu gom và xử lý chất thải theo quy định",,3,,2
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật về bảo vệ môi trường; hồ sơ minh chứng về công trình thu gom và xử lý chất thải theo quy định và hồ sơ mình chứng về sử dụng bao gói thân thiện với môi trường",,3,,3
e) Sử dụng công nghệ theo hướng bền vững trong sản xuất,,2,,1
□ Không sử dụng công nghệ theo hướng bền vững trong sản xuất,,3,,0
"□ Có áp dụng công nghệ theo hướng bền vững môi trường (công nghệ tiết kiệm nguyên liệu, nhiên liệu; hoạt động xử lý/tái chế chất thải; tận thu tái sử dụng, tái chế phụ phẩm nông nghiệp,...)",,3,,1
2. PHÁT TRIỂN SẢN PHẨM,,1,,10
a) Nguồn gốc ý tưởng sản phẩm,,2,,4
"□ Sản phẩm được sản xuất phổ biến ở nhiều tỉnh, thành phố",,3,,0
"□ Sản phẩm được sản xuất phổ biến ở nhiều tỉnh, thành phố nhưng có chất lượng nổi trội, khác biệt do điều kiện về nguyên liệu, kỹ thuật truyền thông",,3,,1
"□ Sản phẩm được sản xuất ở nhiều nơi trên địa bàn, là sản phẩm đặc trưng của tỉnh, có chất lượng nổi trội/sản phẩm mới được chế biến từ nguyên liệu đặc trưng của địa phương",,3,,3
"□ Sản phẩm là đặc sản, truyền thống, chỉ sản xuất trên địa bàn của huyện, có chất lượng đặc sắc, thương mại gắn với chỉ dẫn nguồn gốc địa lý/sản phẩm mới được chế biến từ nguyên liệu đặc trưng của địa phương, được thương mại ổn định ít nhất 36 tháng ****",,3,4,4
"b) Đóng gói, bao bì sản phẩm",,2,,3
"□ Đóng gói theo hình thức thông thường, không có bao bì",,3,,0
"□ Đóng gói theo hình thức thông thường, bao bì đơn giản",,3,,1
"□ Đóng gói sáng tạo, bao bì đẹp",,3,,2
"□ Đóng gói sáng tạo, tiện lợi, bao bì đẹp, sang trọng*****",,3,5,3
"c) Phong cách, ghi nhãn hàng hóa",,2,,3
"□ Có nhãn, ghi nhãn hàng hóa đầy đủ, theo đúng quy định",,3,,1
"□ Ghi nhãn hàng hóa đầy đủ, đúng quy định, thể hiện được thông điệp/câu chuyện sản phẩm",,3,,2
"□ Ghi nhãn hàng hóa đầy đủ, đúng quy định, đẹp, thể hiện được thông điệp/câu chuyện sản phẩm; có truy xuất nguồn gốc điện tử****",,3,4,3
3. SỨC MẠNH CỘNG ĐỒNG,,1,,12
a) Loại hình tổ chức sản xuất - kinh doanh,,2,,3
"□ Hộ gia đình có đăng ký kinh doanh, trang trại, tổ hợp tác (có giấy đăng ký kinh doanh của tổ trưởng), Công ty Trách nhiệm hữu hạn (TNHH) 1 thành viên, doanh nghiệp tư nhân (DNTN)",,3,,1
"□ Công ty TNHH hai thành viên trở lên, công ty cổ phần có vốn góp của cộng đồng địa phương < 51%",,3,,2
"□ HTX tổ chức, hoạt động theo Luật HTX 2012 hoặc công ty cổ phần có vốn góp của cộng đồng địa phương ≥ 51 %",,3,,3
b) Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,2,,1
□ Đại diện pháp luật của chủ thể không phải nữ/đồng bào dân tộc thiểu số,,3,,0
□ Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,3,,1
c) Sử dụng lao động địa phương,,2,,3
□ Có sử dụng từ 50% đến 75% lao động là người trên địa bàn cấp huyện,,3,,1
□ Có sử dụng ≥ 75% lao động là người trên địa bàn cấp huyện,,3,,3
d) Tăng trưởng sản xuất kinh doanh,,2,,2
"□ Hợp tác xã xếp loại trung bình, các loại hình khác có lợi nhuận tăng trưởng dương so với năm trước liền kề",,3,,1
"□ Hợp tác xã xếp loại khá, các loại hình khác có 2 năm liên tiếp tăng trưởng dương về lợi nhuận****",,3,4,2
đ) Kế toán,,2,,1
□ Không có hoạt động kế toán theo quy định,,3,,0
□ Có tổ chức công tác kế toán theo quy định,,3,,1
e) Sở hữu trí tuệ****,,2,4,2
□ Nhãn hiệu sử dụng trên sản phẩm của chủ thể được cấp giấy chứng nhận đăng ký,,3,,1
"□ Nhãn hiệu sử dụng trên sản phẩm của chủ thể được cấp giấy chứng nhận đăng ký; và sản phẩm có sử dụng dấu hiệu chỉ dẫn nguồn gốc địa lý gắn với cộng đồng địa phương (đối với những sản phẩm đã được bảo hộ chỉ dẫn địa lý, nhãn hiệu chứng nhận, nhãn hiệu tập thể thì bắt buộc phải sử dụng)",,3,,2
"Phần B
KHẢ NĂNG TIẾP THỊ (25 Điểm)",,0,,25
4. TIẾP THỊ,,1,,13
a) Khu vực phân phối chính,,2,,5
□ Thị trường trong huyện,,3,,1
"□ Thị trường ngoài huyện, có dưới 5 đại diện/đại lý phân phối",,3,,2
"□ Thị trường ngoài huyện, có ≥ 5 đại diện/đại, lý phân phối",,3,,3
"□ Thị trường quốc tế (có hợp đồng); hoặc phân phối tại các kênh thương mại hiện đại: siêu thị, thương mại điện tử,... (có hợp đồng và vận hành ổn định ít nhất 6 tháng)",,3,,5
"b) Tổ chức phân phối
(Gồm: Tổ chức kinh doanh, phân phối sản phẩm)",,2,,4
□ Không có người chịu trách nhiệm quản lý phân phối,,3,,0
□ Có người chịu trách nhiệm quản lý phân phối,,3,,1
□ Có bộ phận/phòng quản lý phân phối,,3,,3
"□ Có bộ phận/phòng quản lý phân phối, có ứng dụng công nghệ thông tin trong quản lý.",,3,,4
c) Quảng bá sản phẩm,,2,,4
□ Không có hoạt động quảng bá,,3,,0
□ Có một số hoạt động quảng bá,,3,,1
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội, có tham gia hoạt động xúc tiến thương mại trong tỉnh",,3,,2
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội, có tham gia hoạt động xúc tiến thương mại ngoài tỉnh",,3,,3
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội hoạt động thường xuyên, có tham gia hoạt động xúc tiến thương mại ngoài tỉnh và quốc tế",,3,,4
5. CÂU CHUYỆN VỀ SẢN PHẨM,,1,,12
a) Câu chuyện về sản phẩm,,2,,5
"□ Không có câu chuyện, hoặc có nhưng không được tư liệu hóa",,3,,0
□ Có tài liệu giới thiệu về sản phẩm,,3,,1
"□ Có câu chuyện được tư liệu hóa (có cốt chuyện, nội dung cụ thể)",,3,,2
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi",,3,,3
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi và website",,3,,4
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi, website (dưới dạng hình ảnh, clip,..,)",,3,,5
"b) Trí tuệ/bản sắc địa phương
Chỉ áp dụng khi có câu chuyện, đánh giá nội dung câu chuyện:",,2,,5
□ Giống với câu chuyện sản phẩm ở nơi khác,,3,,0
"□ Tương đối giống câu chuyện sản phẩm ở nơi khác, có thay đổi một số yếu tố",,3,,1
"□ Có câu chuyện riêng, gắn với nguồn gốc xuất xứ***",,3,3,3
"□ Có câu chuyện sản phẩm đặc sắc, mang sắc thái truyền thống, văn hóa và trí tuệ/bản sắc địa phương****",,3,4,5
c) Cấu trúc câu chuyện,,2,,2
□ Đơn giản,,3,,0
□ Có đầy đủ các yếu tố của câu chuyện sản phẩm,,3,,1
"□ Ngắn gọn, xúc tích và có các thông điệp đặc sắc về sản phẩm/văn hóa/trí tuệ/bản sắc địa phương*****",,3,5,2
"Phần C
CHẤT LƯỢNG SẢN PHẨM (35 Điểm)",,0,,35
6. CÔNG BỐ CHẤT LƯỢNG,,1,,5
□ Có hồ sơ công bố tiêu chuẩn sản phẩm,,3,,1
□ Có hồ sơ công bố tiêu chuẩn sản phẩm; tiêu chuẩn nguyên liệu,,3,,3
□ Có hồ sơ công bố tiêu chuẩn sản phẩm; tiêu chuẩn nguyên liệu; phiếu kiểm nghiệm theo tiêu chuẩn tại cơ quan kiểm nghiệm độc lập,,3,,5
"7. CHỈ TIÊU CẢM QUAN
(Kiểm tra theo tiêu chuẩn công bố)",,1,,3
□ Không đạt,,3,,0
□ Tương đối đạt,,3,,1
□ Đạt,,3,,3
"8. SỰ TIỆN LỢI KHI SỬ DỤNG, BẢO QUẢN",,1,,5
□ Không tiện lợi,,3,,0
□ Tương đối tiện lợi,,3,,1
□ Tiện lợi,,3,,3
□ Rất tiện lợi,,3,,5
"9. HIỆU QUẢ SỬ DỤNG
(Sử dụng trực tiếp sản phẩm hoặc thông qua tài liệu chính thống/kết quả nghiên cứu, minh chứng người sử dụng)",,1,,4
"□ Thấp, không rõ",,3,,0
□ Có hiệu quả tương đối rõ,,3,,1
□ Hiệu quả tốt,,3,,2
□ Hiệu quả rất tốt,,3,,4
"10. TÍNH AN TOÀN
(Theo hồ sơ nghiên cứu, thử nghiệm,,..)",,1,,3
□ Tương đối an toàn,,3,,0
□ An toàn,,3,,1
□ Rất an toàn,,3,,3
"11. TÍNH ĐỘC ĐÁO
Chất lượng (mùi thơm, màu sắc, chất lượng sử dụng...): có nét riêng, khác biệt, có dấu hiệu nhận biết rõ ràng so với sản phẩm khác, tiềm năng thành thương hiệu của địa phương",,1,,5
□ Trung bình,,3,,0
□ Tương đối độc đáo,,3,,1
"□ Độc đáo, mang tính đặc trưng****",,3,4,3
□ Rất độc đáo và có tính đặc trưng*****,,3,5,5
12. ĐẢM BẢO CHẤT LƯỢNG SẢN PHẨM,,1,,5
□ Không có hoạt động kiểm soát chất lượng sản phẩm,,3,,0
□ Có kế hoạch kiểm soát nội bộ chất lượng sản phẩm,,3,,1
□ Có kế hoạch kiểm soát nội bộ gắn với truy xuất nguồn gốc theo quy định***,,3,3,2
□ Có chứng nhận quản lý chất lượng tiên tiến (ISO/GMP/HACCP/...)****,,3,4,3
"□ Có chứng nhận quản lý chất lượng theo tiêu chuẩn quốc tế, đủ điều kiện ATTP cho xuất khẩu và các thủ tục pháp lý khác theo yêu cầu của thị trường đích*****",,3,5,5
13. HƯỚNG DẪN SỬ DỤNG ĐỂ ĐẢM BẢO SẢN PHẨM CÓ CHẤT LƯỢNG TỐT NHẤT CHO NGƯỜI TIÊU DÙNG,,1,,2
□ Có hướng dẫn sử dụng sản phẩm đơn giản,,3,,1
"□ Có hướng dẫn sử dụng chi tiết, cụ thể để đảm bảo chất lượng sản phẩm, tránh tác dụng phụ (nếu có)*****",,3,5,2
14. CƠ HỘI THỊ TRƯỜNG TOÀN CẦU,,1,,3
□ Có thể xuất khẩu đến thị trường khu vực Đông Nam Á,,3,,1
□ Có thể xuất khẩu các thị trường ngoài khu vực Đông Nam Á,,3,,2
"□ Có thể xuất khẩu đến các thị trường có tiêu chuẩn cao (Mỹ, Nhật, EU...)",,3,,3
