title,description,level,stars,score
"Phần A
SẢN PHẨM VÀ SỨC MẠNH CỦA CỘNG ĐỒNG (40 Điểm)",,0,,40
1. TỔ CHỨC SẢN XUẤT,,1,,19
a) Nguồn nguyên liệu,,2,,5
□ Sử dụng nguyên liệu có nguồn gốc trong tỉnh dưới 50%***,,3,3,1
□ Sử dụng nguyên liệu có nguồn gốc trong tỉnh từ 50% đến dưới 75%,,3,,3
□ Sử dụng nguyên liệu có nguồn gốc trong tỉnh từ 75% đến 100%,,3,,5
b) Gia tăng giá trị,,2,,3
"□ Phân loại, chế tác giản đơn",,3,,1
□ Chế tác/tạo dựng gắn với kỹ năng nghề truyền thống,,3,,2
"□ Ứng dụng công nghệ phù hợp gắn với kỹ năng nghề truyền thống, tạo ra sản phẩm tinh xảo, chất lượng cao hơn",,3,,3
"c) Năng lực sản xuất để đáp ứng yêu cầu phân phối
(Khả năng sản xuất đáp ứng nhu cầu về số lượng/quy mô của thị trường, so sánh với quy mô trung bình ở cùng đối tượng sản xuất tại địa phương)",,2,,3
"□ Có năng lực, quy mô sản xuất mức độ nhỏ",,3,,1
"□ Có năng lực, quy mô sản xuất trung bình****",,3,4,2
"□ Có năng lực, quy mô sản xuất lớn, có thể đáp ứng thị trường xuất khẩu*****",,3,5,3
d) Liên kết chuỗi trong sản xuất,,2,,3
□ Không có liên kết hoặc có nhưng không rõ ràng,,3,,0
□ Có hợp đồng liên kết sản xuất từ 50% đến dưới 75% sản lượng nguyên liệu đầu vào cho chế biến,,3,,1
□ Có hợp đồng liên kết trên 75% sản lượng nguyên liệu đầu vào cho chế biến****,,3,4,2
□ Có hợp đồng liên kết trên 75% sản lượng nguyên liệu đầu vào cho chế biến và tổ chức thực hiện hợp đồng ấn định từ 12 tháng trở lên*****,,3,5,3
đ) Bảo vệ môi trường trong quá trình sản xuất,,2,,4
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật và các quy định khác về bảo vệ môi trường****",,3,4,1
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật về bảo vệ môi trường và hồ sơ minh chứng về công trình thu gom và xử lý chất thải theo quy định",,3,,2
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật về bảo vệ môi trường; hồ sơ minh chứng về công trình thu gom và xử lý chất thải theo quy định và hồ sơ minh chứng về sử dụng bao gói thân thiện với môi trường",,3,,4
e) Sử dụng công nghệ theo hướng bền vững trong sản xuất,,2,,1
□ Không sử dụng công nghệ theo hướng bền vững trong sản xuất,,3,,0
"□ Có áp dụng công nghệ theo hướng bền vững môi trường (công nghệ tiết kiệm nguyên liệu, nhiên liệu; hoạt động xử lý/tái chế chất thải; tận thu tái sử dụng, tái chế phụ phẩm nông nghiệp,...)",,3,,1
2. PHÁT TRIỂN SẢN PHẨM,,1,,9
a) Nguồn gốc ý tưởng sản phẩm,,2,,5
"□ Sản phẩm được sản xuất phổ biến ở nhiều tỉnh, thành phố",,3,,0
"□ Sản phẩm được sản xuất phổ biến ở nhiều tỉnh, thành phố nhưng có chất lượng nổi trội, khác biệt do điều kiện về nguyên liệu, kỹ thuật truyền thống",,3,,1
