title,description,level,stars,score
"Phần A
SẢN PHẨM VÀ SỨC MẠNH CỦA CỘNG ĐỒNG (40 Điểm)",,0,,40
1. TỔ CHỨC SẢN XUẤT,,1,,19
a) Nguồn gốc sản phẩm,,2,,5
□ Sản phẩm được trồng trên địa bàn cấp xã dưới 50%,,3,,1
□ Sản phẩm được trồng trên địa bàn cấp xã từ 50% đến dưới 75%,,3,,3
□ Sản phẩm được trồng trên địa bàn cấp xã từ 75% đến 100%,,3,,5
b) Gia tăng giá trị,,2,,4
"□ Sơ chế (làm sạch, phân loại, đóng gói...) thủ công",,3,,1
"□ Ứng dụng máy móc trong đóng gói, bảo quản sản phẩm",,3,,2
"□ Ứng dụng công nghệ cao trong sơ chế, bảo quản (nâng cao chất lượng sản phẩm/ kéo dài thời gian bảo quản và giữ chất lượng ổn định trong quá trình bảo quản...)",,3,,4
"c) Năng lực sản xuất để đáp ứng yêu cầu phân phối
(Khả năng sản xuất đáp ứng nhu cầu về số lượng/quy mô của thị trường, so sánh với quy mô trung bình ở cùng đối tượng sản xuất tại địa phương)",,2,,3
"□ Có năng lực, quy mô sản xuất mức độ nhỏ",,3,,1
"□ Có năng lực, quy mô sản xuất trung bình****",,3,4,2
"□ Có năng lực, quy mô sản xuất lớn, có thể đáp ứng thị trường xuất khẩu*****",,3,5,3
d) Liên kết chuỗi trong sản xuất,,2,,3
□ Không có liên kết hoặc có nhưng không rõ ràng,,3,,0
□ Có hợp đồng liên kết sản xuất từ 50% đến dưới 75% sản lượng tiêu thụ,,3,,1
□ Có hợp đồng liên kết trên 75% sản lượng tiêu thụ,,3,,2
□ Có hợp đồng liên kết trên 75% sản lượng tiêu thụ và tổ chức thực hiện hợp đồng ổn định từ 12 tháng trở lên,,3,,3
đ) Bảo vệ môi trường trong quá trình sản xuất,,2,,3
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật và các quy định khác về bảo vệ môi trường****",,3,4,1
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật về bảo vệ môi trường và hồ sơ minh chứng về công trình thu gom và xử lý chất thải theo quy định",,3,,2
"□ Có Hồ sơ, thủ tục về môi trường theo quy định của pháp luật về bảo vệ môi trường; hồ sơ minh chứng về công trình thu gom và xử lý chất thải theo quy định và hồ sơ minh chứng về sử dụng bao gói thân thiện với môi trường",,3,,3
e) Sử dụng công nghệ theo hướng bền vững trong sản xuất,,2,,1
□ Không sử dụng công nghệ theo hướng bền vững trong sản xuất,,3,,0
"□ Có áp dụng công nghệ theo hướng bền vững môi trường (công nghệ tiết kiệm nguyên liệu, nhiên liệu; hoạt động xử lý/tái chế chất thải; tận thu tái sử dụng, tái chế phụ phẩm nông nghiệp,...)",,3,,1
2. PHÁT TRIỂN SẢN PHẨM,,1,,9
a) Nguồn gốc ý tưởng sản phẩm,,2,,5
"□ Sản phẩm được sản xuất phổ biến ở nhiều tỉnh, thành phố",,3,,0
"□ Sản phẩm được sản xuất phổ biến ở nhiều tỉnh, thành phố nhưng có chất lượng nổi trội, khác biệt do điều kiện về nguyên liệu, kỹ thuật truyền thống",,3,,1
