title,description,level,stars,score
"Phần A
SẢN PHẨM VÀ SỨC MẠNH CỘNG ĐỒNG (40 Điểm)",,0,,40
1. TỔ CHỨC DỊCH VỤ CỘNG ĐỒNG,,1,,15
a) Bộ phận điều phối quản lý và điều hành dịch vụ,,2,,3
□ Có Bộ phận điều phối quản lý và điều hành dịch vụ,,3,,1
"□ Có Bộ phận điều phối quản lý và điều hành dịch vụ, có kế hoạch và tổ chức triển khai kế hoạch quản lý, điều hành",,3,,3
b) Cơ chế quản lý/quy định,,2,,6
□ Có cơ chế/quy định quản lý hoạt động dịch vụ,,3,,2
□ Có cơ chế quản lý/quy định quản lý hoạt động dịch vụ được phân nhiệm rõ ràng,,3,,4
□ Có cơ chế quản lý/quy định quản lý hoạt động dịch vụ được phân nhiệm rõ ràng trên cơ sở người dân địa phương tham gia quản lý và vận hành và hưởng lợi (trực tiếp/gián tiếp),,3,,6
c) Bảo vệ môi trường trong cộng đồng làm du lịch/điểm du lịch,,2,,4
"□ Có giải pháp cụ thể về bảo vệ môi trường (thu gom rác thải, nước thải sinh hoạt...)",,3,,1
□ Có giải pháp cụ thể và trang bị hạ tầng kỹ thuật chung về bảo vệ môi trường,,3,,2
□ Có giải pháp cụ thể và có trang bị hạ tầng kỹ thuật bảo vệ môi trường và triển khai mô hình cộng đồng tự quản về môi trường,,3,,3
"□ Có giải pháp cụ thể và có trang bị hạ tầng kỹ thuật bảo vệ môi trường và triển khai mô hình cộng đồng tự quản về môi trường, đạt chuẩn tiêu chí về môi trường trong xây dựng nông thôn mới hoặc có đánh giá tác động môi trường theo quy định hiện hành",,3,,4
d) Sử dụng năng lượng tiết kiệm,,2,,2
□ Có giải pháp tiết kiệm năng lượng (bằng hoạt động cụ thể),,3,,1
"□ Có giải pháp tiết kiệm, thu hồi năng lượng, tái sử dụng năng lượng, nguyên liệu tại địa phương và sử dụng công nghệ thân thiện với môi trường",,3,,2
2. PHÁT TRIỂN SẢN PHẨM,,1,,12
a) Nguồn gốc ý tưởng sản phẩm dịch vụ du lịch,,2,,5
"□ Phát triển dựa trên sản phẩm của nơi khác, có dựa trên lợi thế và đặc trưng của địa phương",,3,,1
"□ Phát triển dựa trên ý tưởng của mình, không trùng lắp với các sản phẩm du lịch khác",,3,,3
"□ Có tính độc đáo, khác biệt và có gắn kết các giá trị văn hóa truyền thống của địa phương vào sản phẩm du lịch",,3,,5
b) Tổ chức dịch vụ theo thị trường mục tiêu,,2,,2
□ Có kế hoạch phát triển thị trường mục tiêu,,3,,1
□ Có kế hoạch và có các sản phẩm dịch vụ du lịch phù hợp với thị trường mục tiêu,,3,,2
"c) Bảo vệ, bảo tồn các di sản văn hóa, thiên nhiên, đa dạng sinh học liên quan đến sản phẩm dịch vụ du lịch",,2,,5
"□ Có hoạt động bảo vệ và bảo tồn các di sản văn hóa/thiên nhiên, hệ sinh thái, đa dạng sinh học",,3,,1
"□ Có Chương trình/kế hoạch chung của cộng đồng, có hoạt động bảo vệ và bảo tồn các di sản văn hóa/thiên nhiên, hệ sinh thái, đa dạng sinh học",,3,,3
"□ Có Chương trình/kế hoạch chung của cộng đồng, cả cộng đồng đều có hoạt động bảo vệ và bảo tồn các di sản văn hóa/thiên nhiên, hệ sinh thái, đa dạng sinh học",,3,,5
3. SỨC MẠNH CỘNG ĐỒNG,,1,,13
a) Loại hình tổ chức sản xuất - kinh doanh,,2,,3
"□ Hộ gia đình, trang trại có đăng ký kinh doanh, tổ hợp tác Công ty TNHH 1 thành viên, doanh nghiệp tư nhân (DNTN)",,3,,1
"□ Công ty TNHH hai thành viên trở lên, công ty cổ phần có vốn góp của cộng đồng địa phương < 51%",,3,,2
"□ HTX tổ chức, hoạt động theo Luật HTX hoặc công ty cổ phần có vốn góp của cộng đồng địa phương ≥ 51%, Trung tâm điều hành",,3,,3
b) Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,2,,1
□ Đại diện pháp luật của chủ thể không phải nữ/đồng bào dân tộc thiểu số,,3,,0
□ Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,3,,1
c) Sử dụng lao động địa phương,,2,,3
□ Có sử dụng từ 50% đến 75% lao động là người trên địa bàn cấp huyện,,3,,1
□ Có sử dụng ≥ 75% lao động là người trên địa bàn cấp huyện,,3,,3
d) Tăng trưởng sản xuất kinh doanh,,2,,3
"□ Hợp tác xã xếp loại trung bình, các loại hình khác có lợi nhuận tăng trưởng dương so với năm trước liền kề",,3,,1
"□ Hợp tác xã xếp loại khá, các loại hình khác có 2 năm liên tiếp tăng trưởng dương về lợi nhuận****",,3,4,3
đ) Kế toán,,2,,1
□ Không có hoạt động kế toán theo quy định,,3,,0
□ Có tổ chức công tác kế toán theo quy định,,3,,1
e) Sở hữu trí tuệ****,,2,4,2
□ Nhãn hiệu sử dụng của chủ thể được cấp giấy chứng nhận đăng ký,,3,,1
"□ Nhãn hiệu sử dụng của chủ thể được cấp giấy chứng nhận đăng ký; và sản phẩm có sử dụng dấu hiệu chỉ dẫn nguồn gốc địa lý gắn với cộng đồng địa phương (đối với những sản phẩm đã được bảo hộ chỉ dẫn địa lý, nhãn hiệu chứng nhận, nhãn hiệu tập thể thì bắt buộc phải sử dụng)",,3,,2
"Phần B
KHẢ NĂNG TIẾP THỊ (25 Điểm)",,0,,25
4. TIẾP THỊ,,1,,17
a) Liên kết chuỗi giá trị trong quảng bá sản phẩm du lịch,,2,,5
□ Có đại diện/đại lý quảng bá sản phẩm,,3,,1
□ Có ≥ 3 đại diện/đại lý quảng bá sản phẩm trong và ngoài tỉnh,,3,,3
□ Có ≥ 5 đại diện/đại lý quảng bá sản phẩm trong và ngoài tỉnh,,3,,5
b) Liên kết vùng và chuỗi giá trị trong sản phẩm dịch vụ du lịch,,2,,3
□ Có liên kết với các điểm dịch vụ du lịch khác trong tỉnh để hình thành tours sản phẩm du lịch,,3,,1
□ Có liên kết với các điểm dịch vụ du lịch khác trong và ngoài tỉnh để hình thành tours sản phẩm du lịch,,3,,2
"□ Có liên kết với các điểm dịch vụ du lịch khác trong, ngoài tỉnh và quốc tế để hình thành tours sản phẩm du lịch",,3,,3
"c) Tổ chức quảng bá, bán hàng","(Gồm: Tổ chức kinh doanh, phân phối sản phẩm)",2,,2
"□ Có người chịu trách nhiệm quản lý quảng bá, bán hàng",,3,,1
"□ Có bộ phận/phòng quản lý quảng bá, bán hàng, có ứng dụng công nghệ thông tin trong quản lý/bán hàng",,3,,2
d) Quảng bá sản phẩm,,2,,4
"□ Có nhiều hoạt động quảng bá, có trang thông tin điện tử (website) giới thiệu về điểm, cộng đồng du lịch",,3,,1
"□ Có nhiều hoạt động quảng bá, có trang thông tin điện tử (website) giới thiệu về điểm, cộng đồng du lịch, có sử dụng đặt hàng trực tuyến (online)",,3,,2
"□ Có nhiều hoạt động quảng bá, có trang thông tin điện tử (website) giới thiệu về điểm, cộng đồng du lịch, có sử dụng đặt hàng trực tuyến (online) trong nước và quốc tế uy tín (Booking, Agoda, NPB, TripAdvisor, Traveloka, iVivu...)",,3,,3
"□ Có nhiều hoạt động quảng bá quốc tế, có trang thông tin điện tử (website) bằng tiếng nước ngoài giới thiệu về điểm, cộng đồng du lịch, có sử dụng đặt hàng trực tuyến (online) trong nước và quốc tế uy tín (Booking, Agoda, NPB, TripAdvisor, Traveloka, iVivu...) có hoạt động quảng bá quốc tế",,3,,4
đ) Bộ nhận diện quảng bá sản phẩm,,2,,3
□ Có tờ rơi quảng bá về dịch vụ du lịch,,3,,1
"□ Có phim ngắn (video clip), tranh ảnh áp-phích (poster), tờ rơi quảng bá về dịch vụ du lịch",,3,,2
"□ Có phim ngắn (video clip), tranh ảnh áp-phích (poster), tờ rơi quảng bá về dịch vụ du lịch được thể hiện bằng tiếng Việt và ít nhất 01 tiếng nước ngoài phù hợp.",,3,,3
5. CÂU CHUYỆN SẢN PHẨM,,1,,8
a) Câu chuyện về sản phẩm,,2,,4
□ Có Cẩm nang/câu chuyện liên quan đến sản phẩm dịch vụ du lịch,,3,,1
"□ Có Cẩm nang hoặc câu chuyện liên quan đến sản phẩm dịch vụ du lịch có tính riêng, đặc sắc, thể hiện trí tuệ bản sắc địa phương",,3,,2
"□ Có Cẩm nang hoặc câu chuyện liên quan đến sản phẩm dịch vụ du lịch có tính riêng, đặc sắc, thể hiện trí tuệ bản sắc địa phương và được thể hiện bằng tiếng nước ngoài phù hợp",,3,,4
b) Trình bày câu chuyện sản phẩm,,2,,2
□ Cẩm nang/câu chuyện được tư liệu hóa và trình bày tại điểm cung cấp dịch vụ du lịch,,3,,1
□ Cẩm nang/câu chuyện được tư liệu hóa và trình bày tại điểm du lịch trong và ngoài tỉnh,,3,,2
c) Sản phẩm dịch vụ du lịch trên địa bàn đạt chuẩn nông thôn mới,,2,,2
"□ Cộng đồng du lịch/Điểm du lịch trên địa bàn xã hoặc thôn, bản, ấp chưa được công nhận đạt chuẩn nông thôn mới hoặc không thuộc khu vực nông thôn",,3,,1
"□ Cộng đồng du lịch/Điểm du lịch trên địa bàn xã hoặc thôn, bản, ấp đã được công nhận đạt chuẩn nông thôn mới",,3,,2
"Phần C
CHẤT LƯỢNG SẢN PHẨM (35 Điểm)",,0,,35
6. VỊ TRÍ,,1,,3
"□ Thuận lợi, dễ tiếp cận",,3,,1
"□ Thuận lợi, dễ tiếp cận, liền kề khu vực có lợi thế phát triển du lịch",,3,,2
"□ Thuận lợi, dễ tiếp cận, liền kề và có tính liên kết với khu vực/địa điểm có lợi thể phát triển du lịch khác.",,3,,3
7. KIẾN TRÚC VÀ CẢNH QUAN MÔI TRƯỜNG,,1,,3
□ Cảnh quan môi trường sạch đẹp,,3,,1
"□ Cảnh quan môi trường sạch đẹp, kiến trúc mang đặc trưng vùng miền, có tính dân tộc",,3,,2
